13,0,0,0
15,4300,0,0
11,8600,0,0
13,0,1000,0
15,4300,1000,0
11,8600,1000,0
13,0,2000,0
15,4300,2000,0
11,8600,2000,0
13,0,3000,0
15,4300,3000,0
11,8600,3000,0
9,0,4000,0
15,8300,4000,0
15,12600,4000,0
7,16900,4000,0
9,0,5000,0
15,8300,5000,0
15,12600,5000,0
7,16900,5000,0
9,0,6000,0
15,8300,6000,0
15,12600,6000,0
7,16900,6000,0
9,0,7000,0
15,8300,7000,0
15,12600,7000,0
7,16900,7000,0
13,0,8000,0
15,4300,8000,0
11,8600,8000,0
13,0,9000,0
15,4300,9000,0
11,8600,9000,0
13,0,10000,0
15,4300,10000,0
11,8600,10000,0
13,0,11000,0
15,4300,11000,0
11,8600,11000,0
11,4000,12000,0
11,4000,13000,0
11,4000,14000,0
11,4000,15000,0
11,4000,16000,0
11,4000,17000,0
11,4000,18000,0
11,4000,19000,0
